N,q,procs,time,error,hardware
256,1,1,0.9433632000000216,1.5056135e-07,CPU multiprocessing
256,1,2,1.1424990000086837,1.5056135e-07,CPU multiprocessing
256,1,4,1.9192594999913126,1.5056135e-07,CPU multiprocessing
256,1,8,1.6989882999914698,1.5056135e-07,CPU multiprocessing
256,2,1,1.586311699997168,0.0427778,CPU multiprocessing
256,2,2,1.4405596000142395,0.0427778,CPU multiprocessing
256,2,4,1.2236542999744415,0.0427778,CPU multiprocessing
256,2,8,0.9173981999629177,0.0427778,CPU multiprocessing
256,4,1,0.9525195999885909,0.045355,CPU multiprocessing
256,4,2,1.043846799992025,0.045355,CPU multiprocessing
256,4,4,1.0311656999983825,0.045355,CPU multiprocessing
256,4,8,1.166298700030893,0.045355,CPU multiprocessing
512,1,1,0.8532665999955498,6.578721e-08,CPU multiprocessing
512,1,2,0.7528404000331648,6.578721e-08,CPU multiprocessing
512,1,4,0.748557599959895,6.578721e-08,CPU multiprocessing
512,1,8,0.7511439999798313,6.578721e-08,CPU multiprocessing
512,2,1,1.049607900029514,0.030693278,CPU multiprocessing
512,2,2,0.8166941999807023,0.030693278,CPU multiprocessing
512,2,4,0.8477956000133418,0.030693278,CPU multiprocessing
512,2,8,0.9206948999781162,0.030693278,CPU multiprocessing
512,4,1,0.8403883000137284,0.03082287,CPU multiprocessing
512,4,2,0.8632465000264347,0.03082287,CPU multiprocessing
512,4,4,1.041152100020554,0.03082287,CPU multiprocessing
512,4,8,1.1604018000070937,0.03082287,CPU multiprocessing
1024,1,1,0.913915499986615,5.639617e-08,CPU multiprocessing
1024,1,2,1.1915886999922805,5.639617e-08,CPU multiprocessing
1024,1,4,0.78727460000664,5.639617e-08,CPU multiprocessing
1024,1,8,0.935619099996984,5.639617e-08,CPU multiprocessing
1024,2,1,0.9418706999858841,0.02065151,CPU multiprocessing
1024,2,2,0.8541917999973521,0.02065151,CPU multiprocessing
1024,2,4,0.853749500005506,0.02065151,CPU multiprocessing
1024,2,8,0.8936147000058554,0.02065151,CPU multiprocessing
1024,4,1,0.8641949000302702,0.022450961,CPU multiprocessing
1024,4,2,0.9409760000417009,0.022450961,CPU multiprocessing
1024,4,4,1.0874751000083052,0.022450961,CPU multiprocessing
1024,4,8,1.0911445999518037,0.022450961,CPU multiprocessing
