N,q,time,error,hardware
256,1,0.0008476999937556684,0.0,CPU (sequential)
256,2,0.0017510000034235418,0.042777795,CPU (sequential)
256,4,0.0011742000351659954,0.045355,CPU (sequential)
512,1,0.011540000035893172,0.0,CPU (sequential)
512,2,0.004946800007019192,0.030693276,CPU (sequential)
512,4,0.011906399973668158,0.03082287,CPU (sequential)
1024,1,0.01860429998487234,0.0,CPU (sequential)
1024,2,0.026833799958694726,0.02065151,CPU (sequential)
1024,4,0.029975500016007572,0.022450961,CPU (sequential)
