N,q,procs,time,error,hardware
256,1,1,0.027342199988197535,1.5056135e-07,MPI Cluster/Local
512,1,1,0.016685400041751564,6.578721e-08,MPI Cluster/Local
1024,1,1,0.0726966000511311,5.639617e-08,MPI Cluster/Local
