N,q,procs,time,error,hardware
512,1,1,0.2944613000145182,1.5514772e-07,CUDA (Numba)
512,2,1,0.009834999975282699,0.030693278,CUDA (Numba)
512,4,1,0.011907799984328449,0.030822868,CUDA (Numba)
1024,1,1,0.0675459000049159,1.3803447e-07,CUDA (Numba)
1024,2,1,0.06734539999160916,0.020651514,CUDA (Numba)
1024,4,1,0.0546932999859564,0.022450961,CUDA (Numba)
2048,1,1,0.4008485999656841,1.1307568e-07,CUDA (Numba)
2048,2,1,0.4023749999469146,0.014983633,CUDA (Numba)
2048,4,1,0.40934199996991083,0.015885074,CUDA (Numba)
